"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images","Genus"
"1","C1_Avgarch_SL","uncia",2012-11-24 16:59:05,2012-11-24,"16:59:05",0,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-11-24__16-59-05(2).JPG",1,"Pathera"
"2","C1_Avgarch_SL","uncia",2012-12-29 23:33:45,2012-12-29,"23:33:45",3047680,50794.7,846.6,35.3,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-33-45(1).JPG",1,"Pathera"
"3","C1_Avgarch_SL","uncia",2012-12-29 23:33:48,2012-12-29,"23:33:48",3,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-33-48(2).JPG",1,"Pathera"
"4","C1_Avgarch_SL","uncia",2012-12-29 23:33:51,2012-12-29,"23:33:51",3,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-33-51(3).JPG",1,"Pathera"
"5","C1_Avgarch_SL","uncia",2012-12-29 23:33:54,2012-12-29,"23:33:54",3,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-33-54(4).JPG",1,"Pathera"
"6","C1_Avgarch_SL","uncia",2012-12-29 23:33:56,2012-12-29,"23:33:56",2,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-33-56(5).JPG",1,"Pathera"
"7","C1_Avgarch_SL","uncia",2012-12-29 23:33:59,2012-12-29,"23:33:59",3,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-33-59(6).JPG",1,"Pathera"
"8","C1_Avgarch_SL","uncia",2012-12-29 23:34:01,2012-12-29,"23:34:01",2,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-34-01(1).JPG",1,"Pathera"
"9","C1_Avgarch_SL","uncia",2012-12-29 23:34:02,2012-12-29,"23:34:02",1,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-34-02(2).JPG",1,"Pathera"
"10","C1_Avgarch_SL","uncia",2012-12-29 23:34:04,2012-12-29,"23:34:04",2,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-34-04(3).JPG",1,"Pathera"
"11","C1_Avgarch_SL","uncia",2012-12-29 23:34:06,2012-12-29,"23:34:06",2,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-34-06(4).JPG",1,"Pathera"
"12","C1_Avgarch_SL","uncia",2012-12-29 23:34:11,2012-12-29,"23:34:11",5,0.1,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-34-11(5).JPG",1,"Pathera"
"13","C1_Avgarch_SL","uncia",2012-12-29 23:34:14,2012-12-29,"23:34:14",3,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-29__23-34-14(6).JPG",1,"Pathera"
"14","C1_Avgarch_SL","uncia",2012-12-31 14:46:04,2012-12-31,"14:46:04",141110,2351.8,39.2,1.6,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-31__14-46-04(1).JPG",1,"Pathera"
"15","C1_Avgarch_SL","uncia",2012-12-31 14:46:08,2012-12-31,"14:46:08",4,0.1,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-31__14-46-08(2).JPG",1,"Pathera"
"16","C1_Avgarch_SL","uncia",2012-12-31 14:46:11,2012-12-31,"14:46:11",3,0,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-31__14-46-11(3).JPG",1,"Pathera"
"17","C1_Avgarch_SL","uncia",2012-12-31 14:46:15,2012-12-31,"14:46:15",4,0.1,0,0,"2012CameraData_renamed/C1_Avgarch_SL","C1_Avgarch_SL__2012-12-31__14-46-15(4).JPG",1,"Pathera"
