#,Year,Trap site,Loc_name,Loc_geo,Start,End,Note,Event_total,Event_collared,Photographs,Films
1,2013,C1_Avgarch,Avgarch Sar,UTM_0293344_4094200,2012-11-24,2013-11-02,SL_ext,7,1,120,0
5,2013,C4_Paquoy_Shoopk,Shoopk,UTM_0277255_4093477,2013-05-24,2013-09-30,SL_ext,11,2,60,0
9,2013,C7_Ishmorgh,Oh Jera Jerav,UTM_0271677_4091302,2012-12-02,2013-09-03,SL_ext,17,10,89,0
8,2013,C6_Sast,Wust Koo,UTM_0305274_4090158,2013-05-02,2013-07-10,SL_ext,1,0,6,0
11,2013,C10_Avgarch,Coompeer Kook,UTM_0291039_4097905,2012-12-24,2013-11-02,SL_ext,4,0,49,0
12,2013,C12_Sast,Sast_Jerav,UTM_0304299_4090672,2012-11-22,2013-07-24,SL_ext,3,1,27,0
15,2013,C16_Ishmorgh,Sorbook,UTM_0267955_4093771,2013-01-23,2013-10-24,SL_ext,4,1,42,0
16,2013,C17_Yzirk,Dasht_Sar,UTM_0265003_4092898,2012-10-31,2013-09-02,SL_ext,6,0,449,0
18,2013,C19_Khundud,Gharf Ghlets,UTM_0263616_4090885,2012-12-15,2013-09-19,SL_ext,4,0,62,0
21,2013,C22_Pigish,Shoopragah,UTM_0254230_4084956,2012-11-04,2013-11-05,SL_ext,18,2,147,0
